"Weeks","SNE","NVDA","DIS","MSFT","AAPL"
"9/7/18",55.19,267.19,109.36,107.23,220.71
"9/14/18",56.48,261.92,108.88,108.36,216.47
"9/21/18",56.64,262.11,108.23,111.035,217.66
"9/28/18",56.65,258.68,111.7,112.2175,216.63
